YEAR	PICK	TEAM	PLAYER_FIRST	PLAYER_LAST	POSITION	COLLEGE	SIDE	SIDEN
2019	1	6	19	23	7	19	2	0
2019	2	1	23	4	3	18	1	1
2019	3	13	26	31	4	1	1	1
2019	4	18	4	12	3	5	1	1
2019	5	5	8	29	6	12	1	1
2019	6	11	5	19	7	6	2	0
2019	7	12	17	2	3	11	1	1
2019	8	14	28	16	11	10	2	0
2019	9	3	11	24	4	9	1	1
2019	10	22	8	8	6	14	1	1
2019	11	2	15	31	10	1	2	0
2019	12	15	27	13	3	14	1	1
2019	13	8	3	30	4	5	1	1
2019	14	10	3	21	5	4	2	0
2019	15	20	10	15	7	18	2	0
2019	16	16	2	7	3	7	1	1
2019	17	11	9	20	4	5	1	1
2019	18	25	12	5	1	16	2	0
2019	19	24	13	26	4	15	1	1
2019	20	4	25	11	11	10	2	0
2019	21	15	6	25	9	13	1	1
2019	22	9	1	10	10	22	2	0
2019	23	23	29	17	10	2	2	0
2019	24	18	17	18	8	1	2	0
2019	25	19	21	6	12	19	2	0
2019	26	20	22	27	3	15	1	1
2019	27	18	16	1	9	15	1	1
2019	28	7	14	28	4	17	1	1
2019	29	21	20	9	3	20	1	1
2019	30	11	7	3	2	8	1	1
2019	31	10	18	22	10	21	2	0
2019	32	17	24	14	12	3	2	0
