PIRATE	PIRATEID	YEAR	PICK	GUESSID	GUESS	GUESSN
1	101	2017	1	1	1	1
1	101	2017	2	2	2	0
1	101	2017	3	3	1	1
1	101	2017	4	4	2	0
1	101	2017	5	5	1	1
1	101	2017	6	6	2	0
1	101	2017	7	7	1	1
1	101	2017	8	8	2	0
1	101	2017	9	9	1	1
1	101	2017	10	10	1	1
1	101	2017	11	11	1	1
1	101	2017	12	12	2	0
1	101	2017	13	13	1	1
1	101	2017	14	14	1	1
1	101	2017	15	15	1	1
1	101	2017	16	16	1	1
1	101	2017	17	17	1	1
1	101	2017	18	18	1	1
1	101	2017	19	19	2	0
1	101	2017	20	20	2	0
1	101	2017	21	21	1	1
1	101	2017	22	22	1	1
1	101	2017	23	23	2	0
1	101	2017	24	24	1	1
1	101	2017	25	25	1	1
1	101	2017	26	26	1	1
1	101	2017	27	27	1	1
1	101	2017	28	28	1	1
1	101	2017	29	29	1	1
1	101	2017	30	30	1	1
1	101	2017	31	31	1	1
1	101	2017	32	32	1	1
3	102	2017	1	1	1	1
3	102	2017	2	2	1	1
3	102	2017	3	3	2	0
3	102	2017	4	4	1	1
3	102	2017	5	5	2	0
3	102	2017	6	6	2	0
3	102	2017	7	7	2	0
3	102	2017	8	8	1	1
3	102	2017	9	9	2	0
3	102	2017	10	10	2	0
3	102	2017	11	11	2	0
3	102	2017	12	12	2	0
3	102	2017	13	13	1	1
3	102	2017	14	14	1	1
3	102	2017	15	15	2	0
3	102	2017	16	16	2	0
3	102	2017	17	17	1	1
3	102	2017	18	18	2	0
3	102	2017	19	19	2	0
3	102	2017	20	20	2	0
3	102	2017	21	21	1	1
3	102	2017	22	22	1	1
3	102	2017	23	23	2	0
3	102	2017	24	24	1	1
3	102	2017	25	25	1	1
3	102	2017	26	26	1	1
3	102	2017	27	27	1	1
3	102	2017	28	28	1	1
3	102	2017	29	29	1	1
3	102	2017	30	30	2	0
3	102	2017	31	31	2	0
3	102	2017	32	32	2	0
2	103	2017	1	1	1	1
2	103	2017	2	2	1	1
2	103	2017	3	3	1	1
